Release_Date,Title,Popularity,Vote_Count,Vote_Average,Genre
1968,The Odd Couple,13.679,408,popular,Comedy
1971,Vanishing Point,13.678,329,popular,Action
1971,Vanishing Point,13.678,329,popular,Drama
2007,Southland Tales,13.676,407,not_popular,Comedy
2007,Southland Tales,13.676,407,not_popular,Science Fiction
2007,Southland Tales,13.676,407,not_popular,Drama
2007,Southland Tales,13.676,407,not_popular,Mystery
2007,Southland Tales,13.676,407,not_popular,Thriller
2010,Smokin' Aces 2: Assassins' Ball,13.673,208,not_popular,Action
2010,Smokin' Aces 2: Assassins' Ball,13.673,208,not_popular,Comedy
2018,My Best Friend,13.672,169,average,Drama
2006,Population 436,13.672,203,not_popular,Horror
2006,Population 436,13.672,203,not_popular,Thriller
1984,"Ronia, The Robber's Daughter",13.672,133,average,Adventure
1984,"Ronia, The Robber's Daughter",13.672,133,average,Drama
1984,"Ronia, The Robber's Daughter",13.672,133,average,Fantasy
1984,"Ronia, The Robber's Daughter",13.672,133,average,Family
2013,One Piece Episode of Merry: The Tale of One More Friend,13.671,40,popular,Action
2013,One Piece Episode of Merry: The Tale of One More Friend,13.671,40,popular,Animation
2013,One Piece Episode of Merry: The Tale of One More Friend,13.671,40,popular,Adventure
2013,One Piece Episode of Merry: The Tale of One More Friend,13.671,40,popular,Comedy
2013,One Piece Episode of Merry: The Tale of One More Friend,13.671,40,popular,Drama
2013,One Piece Episode of Merry: The Tale of One More Friend,13.671,40,popular,Family
2013,One Piece Episode of Merry: The Tale of One More Friend,13.671,40,popular,Fantasy
2004,Sideways,13.67,1248,average,Comedy
2004,Sideways,13.67,1248,average,Drama
2004,Sideways,13.67,1248,average,Romance
1994,Legend of the Red Dragon,13.669,91,average,Action
1994,Legend of the Red Dragon,13.669,91,average,Comedy
1994,Legend of the Red Dragon,13.669,91,average,Adventure
2007,Death Sentence,13.669,831,average,Action
2007,Death Sentence,13.669,831,average,Crime
2007,Death Sentence,13.669,831,average,Drama
2007,Death Sentence,13.669,831,average,Thriller
2010,Get Him to the Greek,13.668,1402,not_popular,Comedy
2010,Get Him to the Greek,13.668,1402,not_popular,Adventure
2010,Get Him to the Greek,13.668,1402,not_popular,Music
1994,My Father the Hero,13.667,156,not_popular,Comedy
1994,My Father the Hero,13.667,156,not_popular,Family
1994,My Father the Hero,13.667,156,not_popular,Romance
1943,Frankenstein Meets the Wolf Man,13.665,134,below_avg,Horror
2006,All the Boys Love Mandy Lane,13.664,500,not_popular,Horror
2006,All the Boys Love Mandy Lane,13.664,500,not_popular,Mystery
2006,All the Boys Love Mandy Lane,13.664,500,not_popular,Thriller
2015,Cop Car,13.66,669,not_popular,Thriller
1980,Moscow Does Not Believe in Tears,13.66,171,popular,Drama
1980,Moscow Does Not Believe in Tears,13.66,171,popular,Comedy
1980,Moscow Does Not Believe in Tears,13.66,171,popular,Romance
1985,Once Bitten,13.66,209,not_popular,Comedy
1985,Once Bitten,13.66,209,not_popular,Horror
1985,Once Bitten,13.66,209,not_popular,Romance
1981,Escape to Victory,13.66,682,average,Drama
1981,Escape to Victory,13.66,682,average,War
2018,How to Be Really Bad,13.659,59,average,Comedy
1959,Sube y Baja,13.659,78,popular,Comedy
2020,Wild Mountain Thyme,13.658,96,not_popular,Romance
2020,Wild Mountain Thyme,13.658,96,not_popular,Drama
2006,Taxidermia,13.658,217,average,Drama
2006,Taxidermia,13.658,217,average,Horror
2006,Taxidermia,13.658,217,average,Comedy
2021,Val,13.657,60,average,Documentary
2007,Feast of Love,13.655,186,below_avg,Romance
2007,Feast of Love,13.655,186,below_avg,Drama
1997,Live Flesh,13.655,490,average,Drama
1997,Live Flesh,13.655,490,average,Thriller
1997,Live Flesh,13.655,490,average,Romance
2012,Room on the Broom,13.654,64,below_avg,Family
2012,Room on the Broom,13.654,64,below_avg,Animation
1997,The Postman,13.654,805,below_avg,Science Fiction
1997,The Postman,13.654,805,below_avg,Adventure
1997,The Postman,13.654,805,below_avg,Action
1997,The Postman,13.654,805,below_avg,War
2016,My Friend's Mom,13.651,6,not_popular,Romance
1989,American Ninja 3: Blood Hunt,13.65,117,not_popular,Action
1989,American Ninja 3: Blood Hunt,13.65,117,not_popular,Adventure
1989,American Ninja 3: Blood Hunt,13.65,117,not_popular,Drama
1976,Futureworld,13.65,217,below_avg,Action
1976,Futureworld,13.65,217,below_avg,Adventure
1976,Futureworld,13.65,217,below_avg,Science Fiction
1976,Futureworld,13.65,217,below_avg,Thriller
2016,Elvis & Nixon,13.648,327,not_popular,Drama
2016,Elvis & Nixon,13.648,327,not_popular,Comedy
2016,Elvis & Nixon,13.648,327,not_popular,History
1988,The Incredible Hulk Returns,13.647,89,below_avg,Action
1988,The Incredible Hulk Returns,13.647,89,below_avg,Drama
1988,The Incredible Hulk Returns,13.647,89,below_avg,Adventure
1988,The Incredible Hulk Returns,13.647,89,below_avg,TV Movie
2015,Southbound,13.646,475,below_avg,Fantasy
2015,Southbound,13.646,475,below_avg,Thriller
2015,Southbound,13.646,475,below_avg,Horror
2015,Southbound,13.646,475,below_avg,Science Fiction
2010,Inside Job,13.646,733,popular,Documentary
2017,Victor Crowley,13.645,178,not_popular,Comedy
2017,Victor Crowley,13.645,178,not_popular,Horror
2016,King Cobra,13.645,421,not_popular,Crime
2016,King Cobra,13.645,421,not_popular,Drama
1946,The Big Sleep,13.645,748,popular,Crime
1946,The Big Sleep,13.645,748,popular,Mystery
1946,The Big Sleep,13.645,748,popular,Thriller
2002,Detective Conan: The Phantom of Baker Street,13.643,121,popular,Animation
2002,Detective Conan: The Phantom of Baker Street,13.643,121,popular,Adventure
2002,Detective Conan: The Phantom of Baker Street,13.643,121,popular,Mystery
2018,King of Thieves,13.642,317,not_popular,Crime
2018,King of Thieves,13.642,317,not_popular,Drama
1994,Twin Sitters,13.64,105,below_avg,Comedy
1994,Twin Sitters,13.64,105,below_avg,Family
1994,Twin Sitters,13.64,105,below_avg,Thriller
1977,Sinbad and the Eye of the Tiger,13.64,130,average,Action
1977,Sinbad and the Eye of the Tiger,13.64,130,average,Adventure
1977,Sinbad and the Eye of the Tiger,13.64,130,average,Family
1977,Sinbad and the Eye of the Tiger,13.64,130,average,Fantasy
1977,Sinbad and the Eye of the Tiger,13.64,130,average,Science Fiction
1994,Drop Zone,13.639,307,not_popular,Action
1994,Drop Zone,13.639,307,not_popular,Thriller
2013,Hammer of the Gods,13.638,121,not_popular,History
2013,Hammer of the Gods,13.638,121,not_popular,Action
2013,Hammer of the Gods,13.638,121,not_popular,Adventure
2019,Daniel Isn't Real,13.636,123,below_avg,Horror
2019,Daniel Isn't Real,13.636,123,below_avg,Mystery
2012,The Punisher: Dirty Laundry,13.636,282,average,Drama
2012,The Punisher: Dirty Laundry,13.636,282,average,Action
2012,The Punisher: Dirty Laundry,13.636,282,average,Thriller
1969,Pippi Longstocking,13.636,95,average,Adventure
1969,Pippi Longstocking,13.636,95,average,Family
2016,Assassination Classroom the Movie: 365 Days' Time,13.633,37,average,Action
2016,Assassination Classroom the Movie: 365 Days' Time,13.633,37,average,Animation
2016,Assassination Classroom the Movie: 365 Days' Time,13.633,37,average,Comedy
2016,Guernica,13.632,88,not_popular,Drama
2016,Guernica,13.632,88,not_popular,War
2016,Guernica,13.632,88,not_popular,Romance
2008,Jack Hunter and the Quest for Akhenaten's Tomb,13.631,22,below_avg,Adventure
2001,Valentine,13.63,409,not_popular,Horror
2001,Valentine,13.63,409,not_popular,Thriller
2009,Fame,13.629,308,not_popular,Music
2009,Fame,13.629,308,not_popular,Comedy
2009,Fame,13.629,308,not_popular,Drama
2009,Fame,13.629,308,not_popular,Romance
2008,Feast II: Sloppy Seconds,13.629,135,not_popular,Action
2008,Feast II: Sloppy Seconds,13.629,135,not_popular,Comedy
2008,Feast II: Sloppy Seconds,13.629,135,not_popular,Horror
2008,Feast II: Sloppy Seconds,13.629,135,not_popular,Thriller
1987,"Planes, Trains and Automobiles",13.629,1416,popular,Comedy
2015,Underdog Kids,13.627,13,not_popular,Family
2015,Underdog Kids,13.627,13,not_popular,Action
